00000000 283143 51741262 
00000001 150831 628194 
00000010 20701 86171 
00000011 23725 31250 
00000100 6787 55751 
00000101 8111 9382 
00000110 23627 30664 
00000111 35992 39830 
00001000 1445 36448 
00001001 479 538 
00001010 113 113 
00001011 917 929 
00001100 86 561 
00001101 186 186 
00001110 426 426 
00001111 1511 1514 
00010000 48672 142034 
00010001 45045 54569 
00010010 8342 12024 
00010011 13133 14700 
00010100 15353 20539 
00010101 19377 20289 
00010110 54751 67594 
00010111 155336 159582 
00011000 164 177 
00011001 960 976 
00011010 52 75 
00011011 197 198 
00011100 46 46 
00011101 4 6 
00011110 1152 1153 
00011111 2268 2296 
00100000 49743 3305114 
00100001 19412 63019 
00100010 771 5752 
00100011 2111 3366 
00100100 7872 23913 
00100101 3325 3466 
00100110 9118 10741 
00100111 39929 42814 
00101000 684 719 
00101001 41 42 
00101010 0 1 
00101011 17 17 
00101100 29 772 
00101101 4 4 
00101110 96 96 
00101111 535 537 
00110000 15588 29548 
00110001 2675 5432 
00110010 2677 3811 
00110011 4375 5271 
00110100 4579 5020 
00110101 4310 4845 
00110110 20435 23068 
00110111 77313 80796 
00111000 87 87 
00111001 140 140 
00111010 3 3 
00111011 169 169 
00111100 44 45 
00111101 155 155 
00111110 828 830 
00111111 2742 2743 
01000000 18159 21713 
01000001 28213 28501 
01000010 852 856 
01000011 6291 6337 
01000100 93 153 
01000101 115 115 
01000110 1321 1355 
01000111 4547 4583 
01001000 2990 6378 
01001001 4326 4331 
01001010 596 596 
01001011 2929 2933 
01001100 174 738 
01001101 451 451 
01001110 745 751 
01001111 3985 3989 
01010000 7450 7975 
01010001 4233 4256 
01010010 1349 1401 
01010011 4243 4280 
01010100 3718 4060 
01010101 4422 4444 
01010110 11403 12050 
01010111 61671 61835 
01011000 522 523 
01011001 4592 4597 
01011010 0 4 
01011011 774 774 
01011100 130 130 
01011101 24 24 
01011110 1294 1308 
01011111 5162 5185 
01100000 5558 5583 
01100001 1713 1721 
01100010 1 2 
01100011 230 238 
01100100 32 163 
01100101 6 6 
01100110 730 731 
01100111 3100 3100 
01101000 790 966 
01101001 5367 5367 
01101010 0 3 
01101011 144 144 
01101100 12 1611 
01101101 5 5 
01101110 242 242 
01101111 7763 7763 
01110000 909 919 
01110001 485 485 
01110010 583 589 
01110011 1601 1622 
01110100 163 164 
01110101 982 982 
01110110 1946 1987 
01110111 17868 17883 
01111000 109 110 
01111001 567 567 
01111010 31 33 
01111011 509 509 
01111100 32 34 
01111101 551 551 
01111110 707 709 
01111111 25672 25691 
10000000 2407 10481 
10000001 2092 2097 
10000010 17 17 
10000011 115 117 
10000100 37 37 
10000101 145 145 
10000110 240 240 
10000111 770 770 
10001000 2323 2323 
10001001 710 721 
10001010 16 16 
10001011 544 544 
10001100 38 38 
10001101 126 128 
10001110 950 951 
10001111 6547 6559 
10010000 238 268 
10010001 1567 1575 
10010010 0 0 
10010011 458 458 
10010100 69 69 
10010101 48 48 
10010110 423 426 
10010111 3885 3902 
10011000 518 522 
10011001 2929 2939 
10011010 0 0 
10011011 245 245 
10011100 169 169 
10011101 9 9 
10011110 1273 1273 
10011111 11315 11335 
10100000 966 1975 
10100001 353 355 
10100010 0 0 
10100011 9 12 
10100100 12 12 
10100101 3 3 
10100110 81 81 
10100111 458 458 
10101000 337 339 
10101001 159 159 
10101010 0 1 
10101011 10 12 
10101100 15 15 
10101101 79 79 
10101110 64 64 
10101111 1056 1060 
10110000 67 68 
10110001 81 81 
10110010 28 28 
10110011 106 108 
10110100 11 11 
10110101 240 240 
10110110 228 228 
10110111 2670 2675 
10111000 841 843 
10111001 1290 1290 
10111010 36 38 
10111011 295 295 
10111100 42 42 
10111101 754 754 
10111110 503 504 
10111111 6218 6220 
11000000 2171 2172 
11000001 2257 2257 
11000010 2 2 
11000011 147 147 
11000100 23 23 
11000101 52 52 
11000110 321 321 
11000111 1219 1219 
11001000 11247 11247 
11001001 24266 24267 
11001010 221 221 
11001011 29553 29553 
11001100 114 114 
11001101 122 122 
11001110 5337 5337 
11001111 75668 75680 
11010000 243 243 
11010001 1639 1642 
11010010 0 0 
11010011 1306 1306 
11010100 285 285 
11010101 224 224 
11010110 271 271 
11010111 10277 10285 
11011000 5926 5935 
11011001 25800 25814 
11011010 0 0 
11011011 1836 1836 
11011100 1386 1386 
11011101 89 91 
11011110 6634 6634 
11011111 100361 100394 
11100000 695 698 
11100001 240 240 
11100010 0 0 
11100011 5 5 
11100100 4 4 
11100101 3 3 
11100110 71 71 
11100111 522 522 
11101000 5387 5387 
11101001 18808 18809 
11101010 0 1 
11101011 1661 1664 
11101100 3 3 
11101101 556 556 
11101110 256 256 
11101111 15764 15772 
11110000 73 73 
11110001 206 206 
11110010 44 44 
11110011 188 188 
11110100 9 9 
11110101 218 218 
11110110 180 180 
11110111 3439 3439 
11111000 2316 2316 
11111001 5170 5170 
11111010 560 561 
11111011 5156 5156 
11111100 362 362 
11111101 7513 7513 
11111110 1765 1772 
11111111 167393 167410 
